Geography	Sector	Description	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	(blank)
Canada	Not Creative	Securities and commodity exchanges	1786	1817	1867	1940	1875	2100	2000	2140	2360	2600	
Canada	Not Creative	Semiconductor and other electronic component manufacturing	25100	25283	24958	24617	24050	23858	23425	22425	22400	22417	
Canada	Not Creative	Services to buildings and dwellings	285467	287258	287950	289125	289400	289883	290625	289808	290400	290342	
Canada	Not Creative	Sheep and goat farming	3033	3075	3183	3183	3092	3050	3067	3033	2975	2908	
Canada	Not Creative	Ship and boat building	9383	8817	8150	8083	7892	7725	7692	7633	7633	7875	
Canada	Not Creative	Shoe stores	23692	23975	23833	24142	23900	24108	24675	25158	25367	25233	
Canada	Not Creative	"Soap, cleaning compound and toilet preparation manufacturing"	16617	17008	17383	17400	17083	17225	17708	18700	19433	20258	
Canada	Not Creative	Social advocacy organizations	17850	18450	19083	19667	19767	19783	20125	20175	19850	18925	
Canada	Not Creative	Special food services	51833	52158	51867	51333	50875	50467	50467	51017	52008	52683	
Canada	Not Creative	Specialized freight trucking	80800	81925	82758	84317	84508	85242	85833	86408	87475	88392	
Canada	Not Creative	Specialty food stores	55658	56125	56908	56617	56483	56300	55333	54650	54075	53167	
Canada	Not Creative	Spectator sports	19708	19342	18983	18533	18042	17342	17267	17608	17975	18175	
Canada	Not Creative	"Sporting goods, hobby and musical instrument stores"	66283	66192	66025	66117	65833	66358	66042	66700	66558	66008	
Canada	Not Creative	Spring and wire product manufacturing	5433	5225	4858	4508	4100	3833	3742	3750	3975	4242	
Canada	Not Creative	Steel product manufacturing from purchased steel	5200	5317	5508	5750	6017	6642	7250	7933	8425	8783	
Canada	Not Creative	Sugar and confectionery product manufacturing	13875	12975	12150	11500	11158	10933	10792	10592	10183	9367	
Canada	Not Creative	Support activities for air transportation	30042	29708	29450	28992	29658	29067	28617	28200	28275	28058	
Canada	Not Creative	Support activities for animal production	7875	8317	8333	8300	8125	8025	8083	7992	8008	8075	
Canada	Not Creative	Support activities for crop production	3742	3833	3992	4100	4075	4042	3975	3858	4025	4092	
Canada	Not Creative	Support activities for forestry	19758	19692	19367	19058	18792	18742	18725	18450	18508	18758	
Canada	Not Creative	"Support activities for mining, and oil and gas extraction"	92175	92783	92742	93358	93717	94083	94717	95700	96417	97208	
Canada	Not Creative	Support activities for rail transportation	3308	3342	3325	3282	3310	3240	3020	3000	2956	2700	
Canada	Not Creative	Support activities for road transportation	28667	29675	31650	32758	33925	35333	36300	38208	38550	38433	
Canada	Not Creative	Support activities for water transportation	12158	12208	12600	12717	12742	12908	12783	12717	12808	13000	
Canada	Not Creative	Taxi and limousine service	46033	44867	44092	43692	43267	42158	41325	41025	41125	41358	
Canada	Not Creative	Technical and trade schools	10292	10325	10242	10217	10058	10192	10417	10675	10258	10133	
Canada	Not Creative	Textile and fabric finishing and fabric coating	2344	2300	2363	2486	2486	2375	2300	2263	2213	2138	
Canada	Not Creative	Textile furnishings mills	6325	6167	5958	5717	5667	5650	5458	5050	4708	4373	
Canada	Not Creative	"Textile, clothing and footwear merchant wholesalers"	19267	19767	20492	20975	21475	21617	21775	22025	22308	22267	
Canada	Not Creative	Timber tract operations	1500	1500	1500	1500							
Canada	Not Creative	Tobacco manufacturing	2691	2592	2664	2555	2509	2418	2300	2373	2227	2210	
Canada	Not Creative	Travel arrangement and reservation services	51250	50900	50858	51092	50758	50333	49433	49767	49575	49433	
Canada	Not Creative	Traveller accommodation	181767	181558	181617	182783	182208	183717	183092	182400	181292	181117	
Canada	Not Creative	Universities	233650	234442	235392	237550	238442	239400	241925	243542	244617	247525	
Canada	Not Creative	Urban transit systems	58100	59050	60167	61692	62942	63575	64342	64450	64967	65042	
Canada	Not Creative	Used merchandise stores	24825	25067	24908	25150	24950	24483	24450	24258	24075	23333	
Canada	Not Creative	Used motor vehicle parts and accessories merchant wholesalers	2975	3200	3467	3608	3725	3758	3608	3517	3633	3742	
Canada	Not Creative	Utility system construction	41383	41925	42808	43058	43958	44325	44908	45708	46300	47450	
Canada	Not Creative	Vegetable and melon farming	11608	11342	11225	11300	11592	11667	11750	11792	11250	10917	
Canada	Not Creative	Vending machine operators	3158	3425	3617	3725	3917	3967	4033	4117	4083	4125	
Canada	Not Creative	"Veneer, plywood and engineered wood product manufacturing"	17133	16458	15725	15183	14600	14467	14450	14392	14133	13825	
Canada	Not Creative	"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing"	13300	13075	13017	12875	12575	12558	12642	12517	12700	12592	
Canada	Not Creative	Vocational rehabilitation services	29192	29400	29467	29192	30008	30092	30267	30358	30308	29850	
Canada	Not Creative	Warehousing and storage	41433	42808	43850	44283	44808	44942	45492	46958	47883	47908	
Canada	Not Creative	Waste collection	11375	11517	12142	12442	13125	13933	14508	14667	15217	15692	
Canada	Not Creative	Waste treatment and disposal	13608	13717	13883	13875	13567	13200	13083	12642	12267	12108	
Canada	Not Creative	"Water, sewage and other systems"	16392	16617	16867	16933	16917	16625	16292	16067	15833	15583	
Canada	Not Creative	(blank)	6681467	6688408	6693217	6701933	6709483	6716708	6720617	6729400	6739517	6749250	
Canada	Publishing	Heritage institutions	26567	26817	27542	27892	27625	28383	28283	27458	26817	26717	
Canada	Publishing	"Independent artists, writers and performers"	61375	61308	61000	60117	59825	59800	59442	59450	59567	59650	
Canada	Publishing	Other personal services	31400	31192	30717	30333	29942	29150	29650	30050	30075	29867	
Canada	Publishing	"Other professional, scientific and technical services"	78800	79075	79692	80842	82083	83342	84475	85892	86117	87242	
Manitoba	Advertising and marketing	"Advertising, public relations, and related services"	1533	1542	1533	1558	1600	1642	1642	1583	1575	1642	
Manitoba	Advertising and marketing	"Management, scientific and technical consulting services"	2400	2350	2375	2317	2367	2300	2258	2250	2258	2142	
Manitoba	Architecture	"Architectural, engineering and related services"	4733	4800	4900	5000	4967	4933	4842	4833	4808	4817	
Manitoba	Crafts	Other furniture-related product manufacturing		500	500	500	500	500	500	500	500	500	
Manitoba	Crafts	Other miscellaneous manufacturing	1417	1317	1258	1217	1125	1075	1025	967	975	1058	
Manitoba	Crafts	Other non-metallic mineral product manufacturing	567	567	600	600	567	567	567	550	500	500	
Manitoba	Design	Specialized design services	983	967	975	967	950	942	955	920	890	810	
Manitoba	"Film, TV, video, radio and photography"	Pay and specialty television											
Manitoba	"Film, TV, video, radio and photography"	Radio and television broadcasting	1425	1375	1300	1192	1133	1125	1150	1175	1167	1142	
Manitoba	"Film, TV, video, radio and photography"	Sound recording industries											
Manitoba	"IT, software and computer services"	Computer systems design and related services	4325	4108	3800	3567	3367	3200	3092	3167	3133	3033	
Manitoba	"IT, software and computer services"	Software publishers	633	633	633	633	633	633	633	633	633	633	
Manitoba	Music	Other schools and instruction	2733	2758	2833	2867	2950	3008	2950	2758	2558	2408	
Manitoba	Music	Performing arts companies	727	736	742	767	767	783	792	758	755	791	
Manitoba	Music	"Promoters (presenters) of performing arts, sports and similar events"	714	733	683	683	683	680	600	500	500	500	
Manitoba	Not Creative	Aboriginal public administration	630	633	638	629	629	629	600	614	583	550	
Manitoba	Not Creative	"Accounting, tax preparation, bookkeeping and payroll services"	3550	3617	3683	3825	3967	4217	4383	4550	4558	4708	
Manitoba	Not Creative	Activities related to credit intermediation	860	1000	980	950	914	963	1000	980	964	958	
Manitoba	Not Creative	Activities related to real estate	1867	1892	1858	1867	1875	1892	1950	1967	1942	1925	
Manitoba	Not Creative	Aerospace product and parts manufacturing	3908	3867	3783	3667	3708	3675	3725	3825	3867	3842	
Manitoba	Not Creative	"Agencies, brokerages and other insurance related activities"	2425	2450	2442	2458	2492	2483	2567	2725	2983	3108	
Manitoba	Not Creative	"Agents and managers for artists, athletes, entertainers and other public figures"											
Manitoba	Not Creative	Agricultural supplies merchant wholesalers	1983	1883	1792	1767	1717	1600	1525	1500	1475	1408	
Manitoba	Not Creative	"Agricultural, construction and mining machinery manufacturing"	4983	5092	5183	5258	5292	5333	5250	5175	5058	5008	
Manitoba	Not Creative	Alumina and aluminum production and processing											
Manitoba	Not Creative	Amusement parks and arcades	550	500						500	500	500	
Manitoba	Not Creative	Animal food manufacturing	1125	1200	1233	1233	1233	1264	1300	1300	1250	1210	
Manitoba	Not Creative	Aquaculture											
Manitoba	Not Creative	Architectural and structural metals manufacturing	1908	1775	1733	1683	1675	1783	1875	2050	2142	2150	
Manitoba	Not Creative	Audio and video equipment manufacturing											
Manitoba	Not Creative	Automobile dealers	5467	5575	5642	5733	5750	5783	5742	5742	5700	5750	
Manitoba	Not Creative	Automotive equipment rental and leasing	920	925	800	700	575	525	540	533	533	533	
Manitoba	Not Creative	"Automotive parts, accessories and tire stores"	1683	1667	1658	1592	1525	1483	1458	1400	1358	1233	
Manitoba	Not Creative	Automotive repair and maintenance	5883	6000	6175	6325	6417	6533	6542	6600	6517	6625	
Manitoba	Not Creative	Bakeries and tortilla manufacturing	933	958	992	933	867	875	883	908	917	917	
Manitoba	Not Creative	Basic chemical manufacturing	550	500	600	567	567	550	580	567	571	588	
Manitoba	Not Creative	"Beer, wine and liquor stores"	1342	1408	1458	1483	1483	1492	1525	1533	1500	1450	
Manitoba	Not Creative	Beverage manufacturing	1100	1030	920	844	811	744	644	644	667	670	
Manitoba	Not Creative	Beverage merchant wholesalers	1033	1033	1033	1020	1050	1033	1050	1200			
Manitoba	Not Creative	"Boiler, tank and shipping container manufacturing"	625	622	656	667	700	760	830	930	970	973	
Manitoba	Not Creative	Book stores and news dealers	636	640	640	656	650	671	650	640	550	567	
Manitoba	Not Creative	Building equipment contractors	9900	10033	10175	10325	10442	10417	10333	10217	10108	9900	
Manitoba	Not Creative	Building finishing contractors	5883	5900	5900	5908	6050	5992	6075	5992	5967	6133	
Manitoba	Not Creative	Building material and supplies dealers	5908	6075	6217	6350	6442	6542	6492	6542	6708	6742	
Manitoba	Not Creative	Business schools and computer and management training											
Manitoba	Not Creative	Business support services	3800	3650	3525	3333	3275	3142	2950	2917	2867	2817	
Manitoba	Not Creative	"Business, professional, labour and other membership organizations"	1508	1492	1483	1425	1392	1350	1325	1333	1242	1200	
Manitoba	Not Creative	"Business-to-business electronic markets, and agents and brokers"											
Manitoba	Not Creative	Cattle ranching and farming	5842	5850	5858	5875	5833	5808	5717	5775	5808	6083	
Manitoba	Not Creative	Cement and concrete product manufacturing	722	833	922	940	982	1036	1100	1075	1117	1100	
Manitoba	Not Creative	Charter bus industry											
Manitoba	Not Creative	Chemical (except agricultural) and allied product merchant wholesalers	580	650	633	633	643	625	625	625	625	643	
Manitoba	Not Creative	Child day-care services	6517	6533	6700	6900	7033	7300	7475	7692	7917	7917	
Manitoba	Not Creative	Cigarette and tobacco product merchant wholesalers											
Manitoba	Not Creative	Civic and social organizations	1582	1545	1491	1427	1400	1473	1467	1542	1600	1550	
Manitoba	Not Creative	Clay product and refractory manufacturing											
Manitoba	Not Creative	Clothing accessories and other clothing manufacturing											
Manitoba	Not Creative	Clothing knitting mills											
Manitoba	Not Creative	Clothing stores	4142	4192	4225	4150	4100	4042	3892	3858	3900	3933	
Manitoba	Not Creative	Coal mining											
Manitoba	Not Creative	"Coating, engraving, cold and heat treating and allied activities"								500	550	550	
Manitoba	Not Creative	Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance	1608	1575	1600	1725	1792	1783	1783	1808	1833	1808	
Manitoba	Not Creative	Commercial and industrial machinery and equipment rental and leasing	588	588	589	600	614	633	620	575	567	600	
Manitoba	Not Creative	Commercial and service industry machinery manufacturing											
Manitoba	Not Creative	Communications equipment manufacturing				500	500	500	500	500	500	500	
Manitoba	Not Creative	Community colleges and C.E.G.E.P.s	2567	2592	2600	2558	2550	2442	2325	2267	2192	2183	
Manitoba	Not Creative	"Community food and housing, and emergency and other relief services"	800	800	833	775	775	720	775	733	550	550	
Manitoba	Not Creative	Computer and communications equipment and supplies merchant wholesalers	813	844	880	900	909	933	983	1075	1125	1142	
Manitoba	Not Creative	Computer and peripheral equipment manufacturing											
Manitoba	Not Creative	"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers"	2025	2067	2108	2100	2100	2117	2092	2017	1950	1817	
Manitoba	Not Creative	Consumer goods rental	660	610	589	563	571	600	614	633	640	675	
Manitoba	Not Creative	Converted paper product manufacturing	1158	1125	1158	1125	1083	1058	1025	992	983	983	
Manitoba	Not Creative	Couriers	1592	1442	1308	1183	1183	1217	1258	1333	1425	1508	
Manitoba	Not Creative	Cut and sew clothing manufacturing	1217	1217	1175	1100	1025	1000	950	908	925	975	
Manitoba	Not Creative	Cutlery and hand tool manufacturing											
Manitoba	Not Creative	Dairy product manufacturing	700	760	760	717	717	717	717	717	740	775	
Manitoba	Not Creative	"Data processing, hosting, and related services"											
Manitoba	Not Creative	"Deep sea, coastal and Great Lakes water transportation"											
Manitoba	Not Creative	Defence services	1642	1650	1650	1675	1625	1558	1458	1392	1292	1233	
Manitoba	Not Creative	Department stores	4825	4683	4567	4458	4400	4333	4342	4350	4508	4725	
Manitoba	Not Creative	Depository credit intermediation	8917	9150	9350	9450	9408	9425	9192	9050	8992	8942	
Manitoba	Not Creative	Direct selling establishments	1592	1608	1567	1517	1458	1367	1317	1233	1117	1092	
Manitoba	Not Creative	Drinking places (alcoholic beverages)	791	820	790	780	810	760	740	733	725	675	
Manitoba	Not Creative	Dry cleaning and laundry services	1167	1092	1000	950	908	867	817	792	783	791	
Manitoba	Not Creative	Educational support services							500	500	500	500	
Manitoba	Not Creative	Electric lighting equipment manufacturing											
Manitoba	Not Creative	"Electric power generation, transmission and distribution"	6175	6200	6233	6267	6258	6275	6200	6100	6000	5975	
Manitoba	Not Creative	Electrical equipment manufacturing	975	1000	1008	1017	1042	1033	1033	1025	1008	983	
Manitoba	Not Creative	"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers"	1542	1558	1500	1467	1467	1492	1517	1542	1500	1383	
Manitoba	Not Creative	Electronic and precision equipment repair and maintenance				500	500	550	550	550	567	575	
Manitoba	Not Creative	Electronic shopping and mail-order houses	870	873	867	908	917	917	875	873	890	911	
Manitoba	Not Creative	Electronics and appliance stores	2167	2175	2250	2333	2400	2417	2433	2408	2433	2550	
Manitoba	Not Creative	Elementary and secondary schools	32217	32333	32242	32183	32133	32200	32417	32667	32808	32783	
Manitoba	Not Creative	Employment services	1500	1500	1450	1492	1475	1425	1400	1358	1283	1250	
Manitoba	Not Creative	"Engine, turbine and power transmission equipment manufacturing"											
Manitoba	Not Creative	Fabric mills											
Manitoba	Not Creative	Facilities support services											
Manitoba	Not Creative	Farm product merchant wholesalers	1192	1058	975	892	800	758	717	700	700	718	
Manitoba	Not Creative	"Farm, lawn and garden machinery and equipment merchant wholesalers"	1508	1517	1600	1667	1750	1800	1842	1917	1967	2008	
Manitoba	Not Creative	"Fibre, yarn and thread mills"											
Manitoba	Not Creative	Fishing	567	567	567	575	600	600	625	625	625	600	
Manitoba	Not Creative	Florists	600	700	733	733	733	675	660	633	633	633	
Manitoba	Not Creative	Food merchant wholesalers	2217	2117	2017	1942	1933	1867	1742	1658	1592	1492	
Manitoba	Not Creative	Footwear manufacturing											
Manitoba	Not Creative	Forest nurseries and gathering of forest products											
Manitoba	Not Creative	Forging and stamping								500	500	500	
Manitoba	Not Creative	"Foundation, structure, and building exterior contractors"	6233	6200	6217	6217	6242	6383	6558	6567	6483	6417	
Manitoba	Not Creative	Foundries	727	745	742	717	708	708	692	733	767	842	
Manitoba	Not Creative	Freight transportation arrangement	1113	938	825	713	657	614	600	622	610	600	
Manitoba	Not Creative	Fruit and tree nut farming	500	500	500	500	500	500	500				
Manitoba	Not Creative	Fruit and vegetable preserving and specialty food manufacturing	908	958	975	975	967	958	942	918	910	860	
Manitoba	Not Creative	Full-service restaurants and limited-service eating places	29883	29942	30242	30592	31008	31283	31517	31750	32033	32133	
Manitoba	Not Creative	Funeral services	683	683	683	683	683	683	683	683	667	640	
Manitoba	Not Creative	Furniture stores	1567	1517	1508	1450	1450	1383	1333	1358	1383	1458	
Manitoba	Not Creative	Gambling industries	2450	2450	2408	2367	2358	2300	2250	2142	2033	1908	
Manitoba	Not Creative	Gasoline stations	4533	4433	4342	4275	4175	4125	3950	3883	3842	3642	
Manitoba	Not Creative	General freight trucking	10050	10000	9908	9750	9508	9200	8867	8750	8658	8558	
Manitoba	Not Creative	General rental centres											
Manitoba	Not Creative	Glass and glass product manufacturing											
Manitoba	Not Creative	Grain and oilseed milling	1050	1100	1257	1238	1167	1100	1100	1045	1100	1050	
Manitoba	Not Creative	Grant-making and giving services	891	883	883	892	850	800	800	725	725	708	
Manitoba	Not Creative	"Greenhouse, nursery and floriculture production"	918	950	920	956	944	867	833	756	738	714	
Manitoba	Not Creative	Grocery stores	14167	14133	14358	14558	14583	14692	14900	15108	15142	15275	
Manitoba	Not Creative	Hardware manufacturing											
Manitoba	Not Creative	Health and personal care stores	4767	4708	4767	4833	4867	4792	4867	4983	5000	5083	
Manitoba	Not Creative	"Highway, street and bridge construction"	2742	2767	2767	2750	2667	2700	2783	2875	3017	3200	
Manitoba	Not Creative	Hog and pig farming	2242	2217	2250	2267	2317	2325	2375	2500	2592	2658	
Manitoba	Not Creative	Home entertainment equipment and household appliance merchant wholesalers											
Manitoba	Not Creative	Home furnishings merchant wholesalers	583	583	583	583	583	540	550	567	600	500	
Manitoba	Not Creative	Home furnishings stores	1375	1317	1308	1333	1317	1308	1267	1267	1242	1250	
Manitoba	Not Creative	Home health care services	1108	1100	1117	1108	1067	958	925	933	967	1033	
Manitoba	Not Creative	Household and institutional furniture and kitchen cabinet manufacturing	2083	2083	2125	2167	2092	2042	2000	1942	1800	1717	
Manitoba	Not Creative	Household appliance manufacturing											
Manitoba	Not Creative	Hunting and trapping											
Manitoba	Not Creative	Individual and family services	11642	11508	11500	11392	11233	11133	11017	11067	11067	11208	
Manitoba	Not Creative	Industrial machinery manufacturing									500	500	
Manitoba	Not Creative	Inland water transportation											
Manitoba	Not Creative	Insurance carriers	8942	8967	9125	9242	9358	9475	9458	9433	9342	9292	
Manitoba	Not Creative	International and other extra-territorial public administration											
Manitoba	Not Creative	Interurban and rural bus transportation	500	500	500	500	500	500	500				
Manitoba	Not Creative	Investigation and security services	3325	3342	3333	3350	3367	3367	3283	3200	3108	3058	
Manitoba	Not Creative	Iron and steel mills and ferro-alloy manufacturing	845	855	836	845	850	875	900	875	833	836	
Manitoba	Not Creative	"Jewellery, luggage and leather goods stores"	958	883	833	858	867	833	792	775	792	783	
Manitoba	Not Creative	Land subdivision											
Manitoba	Not Creative	Lawn and garden equipment and supplies stores									600	550	
Manitoba	Not Creative	Leather and hide tanning and finishing											
Manitoba	Not Creative	Legal services	3583	3633	3742	3783	3792	3742	3725	3667	3658	3658	
Manitoba	Not Creative	Lessors of non-financial intangible assets (except copyrighted works)											
Manitoba	Not Creative	Lessors of real estate	3025	3075	3183	3333	3483	3592	3758	3825	3850	3933	
Manitoba	Not Creative	Lime and gypsum product manufacturing											
Manitoba	Not Creative	Local messengers and local delivery	750	750	750	714	714	714	714	667	620	650	
Manitoba	Not Creative	Logging			500	500	500	500	500	500	500	500	
Manitoba	Not Creative	"Lumber, millwork, hardware and other building supplies merchant wholesalers"	1258	1358	1450	1492	1525	1533	1625	1733	1800	1842	
Manitoba	Not Creative	"Machine shops, turned product, and screw, nut and bolt manufacturing"	1233	1283	1325	1342	1367	1392	1408	1433	1458	1492	
Manitoba	Not Creative	Management of companies and enterprises											
Manitoba	Not Creative	Manufacturing and reproducing magnetic and optical media											
Manitoba	Not Creative	Meat product manufacturing	4733	4567	4475	4483	4492	4383	4392	4425	4625	4717	
Manitoba	Not Creative	Medical and diagnostic laboratories	1350	1325	1300	1283	1292	1267	1233	1175	1133	1075	
Manitoba	Not Creative	Medical equipment and supplies manufacturing	820	789	750	700	588	600	663	763	825	838	
Manitoba	Not Creative	Metal ore mining	2892	3033	3108	3133	3150	3142	3158	3150	3192	3208	
Manitoba	Not Creative	Metal service centres	638	638	657	683	667	683	683	667	683	717	
Manitoba	Not Creative	Metalworking machinery manufacturing											
Manitoba	Not Creative	Monetary authorities - central bank											
Manitoba	Not Creative	Motion picture and video industries	1042	1075	1117	1158	1183	1200	1183	1208	1217	1183	
Manitoba	Not Creative	Motor vehicle body and trailer manufacturing	1767	1725	1742	1792	1917	2008	2133	2233	2350	2467	
Manitoba	Not Creative	Motor vehicle manufacturing	1233	1225	1225	1208	1225	1217	1208	1158	1100	1017	
Manitoba	Not Creative	Motor vehicle merchant wholesalers	1090	1044	1000	900	775	713	725	813	900	988	
Manitoba	Not Creative	Motor vehicle parts manufacturing	711	700	700	709	718	718	745	791	836	817	
Manitoba	Not Creative	Natural gas distribution											
Manitoba	Not Creative	"Navigational, measuring, medical and control instruments manufacturing"											
Manitoba	Not Creative	New motor vehicle parts and accessories merchant wholesalers	900	950	983	1000	1017	1050	1058	1083	1125	1175	
Manitoba	Not Creative	"Newspaper, periodical, book and directory publishers"	1992	2025	2042	2100	2208	2267	2333	2350	2383	2450	
Manitoba	Not Creative	Non-depository credit intermediation	900	873	927	982	991	1000	1018	1036	1136	1200	
Manitoba	Not Creative	Non-ferrous metal (except aluminum) production and processing	700	700	700	650	500						
Manitoba	Not Creative	Non-metallic mineral mining and quarrying	729	700	700	689	680	682	673	645	620	622	
Manitoba	Not Creative	Non-residential building construction	2567	2533	2525	2575	2650	2767	2892	2958	3050	3175	
Manitoba	Not Creative	Non-scheduled air transportation	586	571	571	567	567	540	525	520	525	525	
Manitoba	Not Creative	Office administrative services							600	600	600	567	
Manitoba	Not Creative	Office furniture (including fixtures) manufacturing											
Manitoba	Not Creative	"Office supplies, stationery and gift stores"	1500	1558	1625	1658	1600	1517	1425	1350	1300	1225	
Manitoba	Not Creative	Offices of dentists	3067	3092	3167	3150	3117	3133	3125	3150	3075	3142	
Manitoba	Not Creative	Offices of other health practitioners	2767	2800	2950	3042	3075	3142	3183	3192	3192	3192	
Manitoba	Not Creative	Offices of physicians	4492	4675	4858	5000	5125	5150	5075	4958	4950	4758	
Manitoba	Not Creative	Offices of real estate agents and brokers	2050	2092	2075	2033	1942	1950	1967	2017	1958	2000	
Manitoba	Not Creative	Oil and gas extraction	620	620	622	600	571	543	550	560	550	533	
Manitoba	Not Creative	Oilseed and grain farming	7825	7892	7942	8033	8100	8217	8225	8158	7958	7758	
Manitoba	Not Creative	Other ambulatory health care services	1275	1358	1333	1300	1342	1333	1325	1317	1342	1383	
Manitoba	Not Creative	Other amusement and recreation industries	4558	4467	4400	4433	4508	4583	4533	4567	4642	4725	
Manitoba	Not Creative	Other animal production	4642	4517	4417	4308	4192	4092	4083	4067	4108	4133	
Manitoba	Not Creative	Other chemical product manufacturing											
Manitoba	Not Creative	Other crop farming	1400	1450	1518	1500	1464	1445	1400	1291	1255	1109	
Manitoba	Not Creative	Other electrical equipment and component manufacturing	600										
Manitoba	Not Creative	Other fabricated metal product manufacturing	500	500	500	500	600	675	875	880	900	900	
Manitoba	Not Creative	Other financial investment activities	3908	3742	3567	3392	3342	3250	3233	3192	3133	3017	
Manitoba	Not Creative	Other food manufacturing	1358	1417	1450	1442	1433	1400	1433	1400	1350	1325	
Manitoba	Not Creative	Other funds and financial vehicles											
Manitoba	Not Creative	Other general merchandise stores	4633	4808	5025	5217	5458	5633	5867	6000	6133	6183	
Manitoba	Not Creative	Other general-purpose machinery manufacturing	660	730	791	845	909	964	1036	1064	1145	1150	
Manitoba	Not Creative	Other heavy and civil engineering construction											
Manitoba	Not Creative	Other information services	1009	1009	1009	1045	1091	1127	1127	1036	955	900	
Manitoba	Not Creative	Other leather and allied product manufacturing											
Manitoba	Not Creative	"Other machinery, equipment and supplies merchant wholesalers"	1408	1375	1275	1100	1058	1008	1033	1017	1117	1192	
Manitoba	Not Creative	Other miscellaneous merchant wholesalers	744	750	710	720	750	800	860	940	945	942	
Manitoba	Not Creative	Other miscellaneous store retailers	1664	1727	1742	1808	1800	1750	1667	1525	1450	1417	
Manitoba	Not Creative	Other motor vehicle dealers	657	729	714	713	689	690	682	682	673	673	
Manitoba	Not Creative	Other pipeline transportation											
Manitoba	Not Creative	Other specialty trade contractors	3142	3208	3358	3542	3667	3708	3633	3592	3475	3283	
Manitoba	Not Creative	Other support activities for transportation											
Manitoba	Not Creative	Other support services	783	817	850	829	829	838	844	840	855	891	
Manitoba	Not Creative	Other telecommunications	500										
Manitoba	Not Creative	Other textile product mills	550	550	533	525	525	525	525	525	540	533	
Manitoba	Not Creative	Other transit and ground passenger transportation	700	600	525	520	550	586	600	600	588	600	
Manitoba	Not Creative	Other transportation equipment manufacturing											
Manitoba	Not Creative	Other wood product manufacturing	5058	5108	5075	4875	4792	4800	4808	4733	4667	4450	
Manitoba	Not Creative	Out-patient care centres	1900	2042	2192	2375	2492	2542	2558	2592	2650	2725	
Manitoba	Not Creative	"Paint, coating and adhesive manufacturing"											
Manitoba	Not Creative	"Paper, paper product and disposable plastic product merchant wholesalers"	540	540	540	525	533	550	500				
Manitoba	Not Creative	Pension funds											
Manitoba	Not Creative	Personal and household goods repair and maintenance	992	975	933	900	864	860	860	830	820	810	
Manitoba	Not Creative	Personal care services	6325	6175	6125	6008	5883	5750	5467	5425	5350	5300	
Manitoba	Not Creative	Personal goods merchant wholesalers	525	520	520	520	550	557	557	588	589	633	
Manitoba	Not Creative	"Pesticide, fertilizer and other agricultural chemical manufacturing"	550	500									
Manitoba	Not Creative	Petroleum and coal product manufacturing											
Manitoba	Not Creative	Petroleum and petroleum products merchant wholesalers	540	550	567	567	600	600	600	600			
Manitoba	Not Creative	Pharmaceutical and medicine manufacturing	1767	1783	1783	1825	1833	1833	1833	1808	1767	1692	
Manitoba	Not Creative	"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers"	722	789	810	855	875	925	983	1008	1017	1075	
Manitoba	Not Creative	Pipeline transportation of crude oil											
Manitoba	Not Creative	Pipeline transportation of natural gas											
Manitoba	Not Creative	Plastic product manufacturing	2308	2367	2433	2550	2625	2708	2750	2758	2767	2758	
Manitoba	Not Creative	Postal service	2825	2883	2917	3050	3100	3183	3250	3333	3367	3408	
Manitoba	Not Creative	Poultry and egg production	500	500	500	500	500	500	500	500	500	500	
Manitoba	Not Creative	Printing and related support activities	4542	4558	4542	4525	4425	4350	4217	4108	4008	3858	
Manitoba	Not Creative	Private households	1917	1842	1783	1733	1708	1650	1650	1658	1633	1658	
Manitoba	Not Creative	"Pulp, paper and paperboard mills"	600	560	580	600	660	700	743	750	722	722	
Manitoba	Not Creative	Rail transportation	4275	4433	4475	4583	4608	4575	4700	4717	4725	4692	
Manitoba	Not Creative	Railroad rolling stock manufacturing											
Manitoba	Not Creative	Recreational vehicle (RV) parks and recreational camps	780	850	850	933	933	850	825	950	900	900	
Manitoba	Not Creative	Recyclable material merchant wholesalers	925	925	958	967	950	933	917	908	933	933	
Manitoba	Not Creative	Religious organizations	3650	3667	3592	3542	3492	3483	3483	3367	3317	3283	
Manitoba	Not Creative	Remediation and other waste management services	500	500	550	550	533	525	525	525	525	525	
Manitoba	Not Creative	Residential building construction	7642	7700	7658	7642	7642	7658	7683	7783	7992	8225	
Manitoba	Not Creative	"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing"											
Manitoba	Not Creative	Rooming and boarding houses											
Manitoba	Not Creative	Rubber product manufacturing	520	520	520	520	520	525	533	500	500	500	
Manitoba	Not Creative	Satellite telecommunications											
Manitoba	Not Creative	Sawmills and wood preservation	557	550	525	529	529	529	529	517	500	500	
Manitoba	Not Creative	"Scenic and sightseeing transportation, land"											
Manitoba	Not Creative	"Scenic and sightseeing transportation, other"											
Manitoba	Not Creative	"Scenic and sightseeing transportation, water"											
